date,temperature_c,precip_mm,humidity_pct,barometric_pressure_hpa,station_status
2025-01-01,31.83,0.0,53.8,1015.37,active
2025-01-02,30.08,0.0,59.8,1015.93,active
2025-01-03,32.54,1.09,56.4,1016.02,active
2025-01-04,33.21,0.99,65.4,1020.67,active
2025-01-05,31.97,3.99,59.1,1015.92,active
2025-01-06,29.58,3.19,44.4,1013.11,active
2025-01-07,32.3,0.71,48.4,1015.79,active
2025-01-08,32.15,0.0,53.3,1019.21,active
2025-01-09,30.5,1.27,59.3,1017.16,active
2025-01-10,32.66,1.04,50.2,1011.01,active
2025-01-11,30.89,0.0,56.8,1017.1,active
2025-01-12,33.53,0.0,42.7,1019.16,active
2025-01-13,30.55,0.35,60.5,1010.92,active
2025-01-14,29.23,0.17,58.3,1015.86,active
2025-01-15,30.76,0.0,47.9,1018.71,active
2025-01-16,30.3,2.77,51.3,1014.33,active
2025-01-17,31.21,0.0,59.8,1017.05,active
2025-01-18,29.48,1.9,50.0,1012.38,active
2025-01-19,30.16,2.22,47.6,1017.15,active
2025-01-20,29.95,1.68,69.4,1016.92,active
2025-01-21,31.05,1.01,59.7,1012.23,active
2025-01-22,30.0,2.5,58.6,1017.87,active
2025-01-23,29.99,0.0,60.8,1016.89,active
2025-01-24,30.18,0.43,55.8,1016.42,active
2025-01-25,29.84,0.0,70.1,1015.89,active
2025-01-26,30.04,0.48,58.0,1011.03,active
2025-01-27,30.37,0.0,59.3,1015.13,active
2025-01-28,27.47,0.0,47.6,1019.68,active
2025-01-29,29.64,0.0,62.1,1015.59,active
2025-01-30,31.8,3.47,82.4,1017.62,active
2025-01-31,31.69,1.43,52.8,1013.53,active
2025-02-01,29.0,0.0,60.5,1015.37,active
2025-02-02,27.64,0.66,57.4,1016.46,active
2025-02-03,29.6,0.59,55.3,1014.55,active
2025-02-04,26.34,0.0,54.8,1012.32,active
2025-02-05,27.6,0.0,49.7,1013.7,active
2025-02-06,25.77,0.0,52.7,1015.57,active
2025-02-07,29.67,0.0,55.0,1014.61,active
